Case,Size,Folder,RVE,Point_Index,True_Strain,True_Stress,Source_File
05_001_800,L=2.0um,202020,RVE3,10,0.0525924514481166,93.91483218657532,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,11,0.0582689068587828,92.7969700974377,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,12,0.063913325408167,91.62854429604216,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,13,0.0695260597573401,90.41502757061697,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,14,0.0751074739796861,89.1565266986518,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,15,0.0806579019727236,87.86103991675378,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,16,0.0861776995220419,86.52716611641425,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,17,0.0916671892871969,85.16770904921941,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,18,0.0971267089999163,83.7910783461848,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,19,0.1025565908534479,82.40435555502722,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,20,0.1079571415585973,81.0128180890514,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,21,0.1133286829121737,79.61541240699091,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,22,0.1186715315172836,78.2249052921552,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,23,0.1239859791491398,76.84284278591939,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,24,0.1292723326662926,75.47426921041802,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,25,0.134530887539002,74.12175063596123,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
