Case,Size,Folder,Grid_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Std_Stress,Min_Stress,Max_Stress,Experiment_Stress,Relative_Error_pct
07_01_500,L=2.0um,202020,34,0.015416187290969899,660.7606227190747,662.9159405143481,639.4780340695746,654.3848657676658,12.954596564774523,639.4780340695746,662.9159405143481,657.9006082795842,0.5343880926196504
07_01_500,L=2.0um,202020,35,0.01588334448160535,663.7850371101174,665.5127169486769,643.0428042000239,657.4468527529394,12.504146529939682,643.0428042000239,665.5127169486769,661.4074477168822,0.5988131790191302
07_01_500,L=2.0um,202020,36,0.0163505016722408,666.8094515011602,668.1094933830058,646.6075743304731,660.5088397382129,12.056384705870922,646.6075743304731,668.1094933830058,664.1083417974833,0.5420052471450468
07_01_500,L=2.0um,202020,37,0.016817658862876252,669.8338658922029,670.7062698173346,650.1723444609223,663.5708267234867,11.611622081231095,650.1723444609223,670.7062698173346,666.5094504870804,0.44089753887902966
07_01_500,L=2.0um,202020,38,0.017284816053511703,672.8582802832456,673.3030462516634,653.7371145913716,666.6328137087602,11.170216917604112,653.7371145913716,673.3030462516634,668.9105591766773,0.34051569924695163
07_01_500,L=2.0um,202020,39,0.017751973244147158,675.8826946742884,675.8998226859923,657.3018847218208,669.6948006940338,10.732583475703585,657.3018847218208,675.8998226859923,671.1684924406319,0.21957105603082933
07_01_500,L=2.0um,202020,40,0.01821913043478261,677.5419192776544,677.0486290291727,659.069223258984,671.2199238552704,10.525705560804795,659.069223258984,677.5419192776544,672.2826807020601,0.15808184225122526
07_01_500,L=2.0um,202020,41,0.01868628762541806,678.8845397634589,677.8616334954993,660.4197155461925,672.3886296017168,10.37799412505397,660.4197155461925,678.8845397634589,673.3968689634885,0.14972439110439495
07_01_500,L=2.0um,202020,42,0.01915344481605351,680.2271602492633,678.6746379618259,661.7702078334008,673.5573353481633,10.237424610232834,661.7702078334008,680.2271602492633,674.5110572249167,0.14139455039881044
07_01_500,L=2.0um,202020,43,0.019620602006688963,681.5697807350679,679.4876424281524,663.1207001206093,674.72604109461,10.10429509289953,663.1207001206093,681.5697807350679,675.7132069487494,0.14609243152092502
07_01_500,L=2.0um,202020,44,0.020087759197324414,682.9124012208723,680.3006468944789,664.4711924078177,675.8947468410564,9.978903350680978,664.4711924078177,682.9124012208723,677.2809373684886,0.204669945800939
07_01_500,L=2.0um,202020,45,0.020554916387959865,684.2550217066768,681.1136513608054,665.8216846950262,677.0634525875029,9.86154455061266,665.8216846950262,684.2550217066768,678.8486677882279,0.2629769027228807
07_01_500,L=2.0um,202020,46,0.021022073578595316,685.5976421924812,681.926655827132,667.1721769822346,678.2321583339493,9.7525086951436,667.1721769822346,685.5976421924812,680.4163982079672,0.3210151724400763
07_01_500,L=2.0um,202020,47,0.021489230769230767,686.9402626782858,682.7396602934585,668.522669269443,679.4008640803958,9.652077851822062,668.522669269443,686.9402626782858,681.9841286277065,0.37878660790959595
07_01_500,L=2.0um,202020,48,0.02195638795986622,688.2828831640902,683.5526647597851,669.8731615566514,680.5695698268422,9.560523204828357,669.8731615566514,688.2828831640902,683.0721837083282,0.3663761958362265
07_01_500,L=2.0um,202020,49,0.02242354515050167,689.6255036498947,684.3656692261115,671.2236538438599,681.7382755732887,9.478101979095591,671.2236538438599,689.6255036498947,683.9929985022304,0.32964122935162
07_01_500,L=2.0um,202020,50,0.022890702341137124,690.9681241356992,685.1786736924381,672.5741461310683,682.9069813197352,9.40505429999521,672.5741461310683,690.9681241356992,684.9138132961326,0.2930050376323349
07_01_500,L=2.0um,202020,51,0.023357859531772576,692.3107446215037,685.9916781587647,673.9246384182768,684.0756870661817,9.341600062581744,673.9246384182768,692.3107446215037,685.8346280900349,0.25646722282770823
07_01_500,L=2.0um,202020,52,0.023825016722408027,693.5256895313772,686.6992882841942,675.1221934328008,685.1157237494575,9.30338243002706,675.1221934328008,693.5256895313772,686.5199174602443,0.20453794202818604
07_01_500,L=2.0um,202020,53,0.024292173913043478,694.3185393692773,687.0584650339981,675.8141382814772,685.7303808949176,9.323415174435967,675.8141382814772,694.3185393692773,686.6820101328037,0.13858368558425624
07_01_500,L=2.0um,202020,54,0.02475933110367893,695.1113892071776,687.4176417838021,676.5060831301536,686.3450380403777,9.348915051905358,676.5060831301536,695.1113892071776,686.8441028053633,0.07266055906240243
07_01_500,L=2.0um,202020,55,0.02522648829431438,695.9042390450777,687.7768185336062,677.1980279788298,686.959695185838,9.379837473957352,677.1980279788298,695.9042390450777,687.0061954779228,0.006768540428151568
07_01_500,L=2.0um,202020,56,0.02569364548494983,696.6970888829778,688.1359952834101,677.8899728275062,687.574352331298,9.416129018085803,677.8899728275062,696.6970888829778,687.1416329536679,0.06297382619213844
07_01_500,L=2.0um,202020,57,0.026160802675585283,697.4899387208781,688.4951720332141,678.5819176761826,688.1890094767582,9.457727876709795,678.5819176761826,697.4899387208781,686.3911771235244,0.26192532963026444
07_01_500,L=2.0um,202020,58,0.026627959866220734,698.2827885587782,688.854348783018,679.2738625248589,688.8036666222184,9.504564364126354,679.2738625248589,698.2827885587782,685.6407212933807,0.46131235071207716
07_01_500,L=2.0um,202020,59,0.027095117056856185,699.0756383966783,689.213525532822,679.9658073735352,689.4183237676785,9.556561472152046,679.9658073735352,699.0756383966783,684.890265463237,0.6611363210687317
07_01_500,L=2.0um,202020,60,0.02756227424749164,699.8684882345785,689.572702282626,680.6577522222116,690.0329809131387,9.613635464666489,680.6577522222116,699.8684882345785,684.1398096330934,0.861398678613049
07_01_500,L=2.0um,202020,61,0.02802943143812709,700.6613380724787,689.93187903243,681.3496970708879,690.6476380585988,9.67569650109162,681.3496970708879,700.6613380724787,683.8310085082694,0.9968295478731475
07_01_500,L=2.0um,202020,62,0.028496588628762542,701.4541879103788,690.291055782234,682.0416419195643,691.2622952040591,9.742649278930855,682.0416419195643,701.4541879103788,684.2304190199532,1.027705870513321
07_01_500,L=2.0um,202020,63,0.028963745819397993,702.247037748279,690.650232532038,682.7335867682406,691.8769523495192,9.81439368583417,682.7335867682406,702.247037748279,684.6298295316369,1.0585461668884852
07_01_500,L=2.0um,202020,64,0.029430903010033444,703.0398875861791,691.009409281842,683.4255316169169,692.4916094949793,9.890825452210814,683.4255316169169,703.0398875861791,685.0292400433207,1.0893505000146797
07_01_500,L=2.0um,202020,65,0.029898060200668895,703.6387826396857,691.2427909720321,683.9104045074304,692.9306593730494,9.971905571989588,683.9104045074304,703.6387826396857,685.4286505550043,1.0944988675291791
07_01_500,L=2.0um,202020,66,0.030365217391304346,704.1645578345914,691.4287486350171,684.3172124388944,693.3035063028343,10.055611222039305,684.3172124388944,704.1645578345914,685.7636744646362,1.0994796194307483
