Case,Size,Folder,Sample_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Errorbar_Lower,Errorbar_Upper,Experiment_Stress,Relative_Error_pct
06_01_20,L=1.6um,161616,2,0.053005500000000004,986.0863596139677,1142.2933373793944,1101.2939299879579,1076.55787566044,80.98801925854566,80.98801925854566,1115.557355085084,3.4959636317103158
06_01_20,L=1.6um,161616,3,0.0765635,999.3501704868257,1161.0210380052335,1139.2557055406642,1099.8756380109078,87.73516763547427,87.73516763547427,1130.794161744612,2.7342309307648427
06_01_20,L=1.6um,161616,4,0.1001215,1005.031361078789,1170.3603621908494,1157.4620102730478,1110.9512445142288,91.95574017309477,91.95574017309477,1145.4422056219512,3.0111480909675814
06_01_20,L=2.0um,202020,1,0.0294475,1053.080199878345,1038.6205535277,1032.7298740893273,1041.4768758317907,10.471526763486997,10.471526763486997,1099.8657131841564,5.308724206278568
06_01_20,L=2.0um,202020,2,0.053005500000000004,1122.4515192555566,1079.9613190193693,1097.358174549195,1099.9236709413735,21.360959899581633,21.360959899581633,1115.557355085084,1.401423608785954
06_01_20,L=2.0um,202020,3,0.0765635,1159.7248920471768,1099.5212005023104,1128.13814513516,1129.1280792282157,30.114051471676802,30.114051471676802,1130.794161744612,0.1473373822363751
06_01_20,L=2.0um,202020,4,0.1001215,1183.0564239971081,1110.3532158096145,1145.1764830690358,1146.1953742919195,36.362311872068325,36.362311872068325,1145.4422056219512,0.06575352874825867
06_01_20,L=2.4um,242424,1,0.0294475,1076.2818422282191,1086.9392062119296,1105.5596349329132,1089.593561124354,14.818282168172983,14.818282168172983,1099.8657131841564,0.9339460205613795
06_01_20,L=2.4um,242424,2,0.053005500000000004,1158.1791772250972,1177.6345993903417,1191.7685350723043,1175.860770562581,16.864788515708682,16.864788515708682,1115.557355085084,5.405675934331273
06_01_20,L=2.4um,242424,3,0.0765635,1192.8732819269724,1214.4226307184492,1219.7440013092123,1209.0133046515446,14.228650547516494,14.228650547516494,1130.794161744612,6.917186659882865
06_01_20,L=2.4um,242424,4,0.1001215,1208.140909359769,1231.2670491041704,1227.352071412496,1222.2533432921452,12.377493938731586,12.377493938731586,1145.4422056219512,6.705806481828318
07_01_500,L=1.6um,161616,1,0.03492,645.124450184116,728.5496689283685,701.105287084553,691.5931353990126,42.518261404932176,42.518261404932176,687.3731973199147,0.613922407151102
07_01_500,L=1.6um,161616,2,0.062856,646.9977490041588,730.2614807613934,711.4279545655671,696.2290614437064,43.663108233753675,43.663108233753675,696.5626421445947,0.04788954800407938
